customer_id,day,amount,txn_type,device_id,address_id
0,48,1646.4328307257924,purchase,dev_family_0,addr_family_0
0,71,1093.1213337029674,purchase,dev_family_0,addr_family_0
0,90,891.6856283508183,purchase,dev_family_0,addr_family_0
0,110,1265.2515955804201,purchase,dev_family_0,addr_family_0
1,16,960.2994341066376,purchase,dev_family_0,addr_family_0
1,25,1419.901674048962,purchase,dev_family_0,addr_family_0
1,33,1497.867598096212,purchase,dev_family_0,addr_family_0
1,51,1385.462828145232,purchase,dev_family_0,addr_family_0
1,71,646.4023159682669,purchase,dev_family_0,addr_family_0
2,47,868.7752334485691,purchase,dev_family_1,addr_family_1
2,52,577.4172338937766,purchase,dev_family_1,addr_family_1
2,67,1795.6299127399104,purchase,dev_family_1,addr_family_1
3,48,2056.96719311847,purchase,dev_family_1,addr_family_1
3,60,707.7966524109631,purchase,dev_family_1,addr_family_1
4,53,1449.9289664193957,purchase,dev_family_1,addr_family_1
4,65,1683.0915990740332,purchase,dev_family_1,addr_family_1
4,76,1117.0796199706392,purchase,dev_family_1,addr_family_1
4,95,1708.6967772898624,purchase,dev_family_1,addr_family_1
5,49,1083.932427690696,purchase,dev_family_1,addr_family_1
5,60,576.129685056207,purchase,dev_family_1,addr_family_1
5,70,813.5249419182778,purchase,dev_family_1,addr_family_1
5,75,851.7222468418327,purchase,dev_family_1,addr_family_1
6,69,1130.5770691868665,purchase,dev_family_2,addr_family_2
6,87,1664.386426314348,purchase,dev_family_2,addr_family_2
6,94,995.1813900998894,purchase,dev_family_2,addr_family_2
6,97,1027.8799360495761,purchase,dev_family_2,addr_family_2
6,116,1354.1457243592204,purchase,dev_family_2,addr_family_2
7,22,1495.174710168619,purchase,dev_family_2,addr_family_2
7,29,1601.0829604907888,purchase,dev_family_2,addr_family_2
8,35,1198.575025543229,purchase,dev_family_2,addr_family_2
8,51,806.1021402843317,purchase,dev_family_2,addr_family_2
8,55,3635.0038381195545,purchase,dev_family_2,addr_family_2
8,59,1647.8137966859324,purchase,dev_family_2,addr_family_2
8,73,1531.274587293184,purchase,dev_family_2,addr_family_2
9,39,1448.8483576269618,purchase,dev_family_3,addr_family_3
9,60,798.0514935188747,purchase,dev_family_3,addr_family_3
9,77,1303.8917491573718,purchase,dev_family_3,addr_family_3
10,48,932.050472005962,purchase,dev_family_3,addr_family_3
10,51,888.2974564562163,purchase,dev_family_3,addr_family_3
