customer_id,is_abuse_ring,account_created_day,device_id,address_id
0,0,26,dev_family_0,addr_family_0
1,0,11,dev_family_0,addr_family_0
2,0,39,dev_family_1,addr_family_1
3,0,38,dev_family_1,addr_family_1
4,0,49,dev_family_1,addr_family_1
5,0,43,dev_family_1,addr_family_1
6,0,45,dev_family_2,addr_family_2
7,0,5,dev_family_2,addr_family_2
8,0,19,dev_family_2,addr_family_2
9,0,28,dev_family_3,addr_family_3
10,0,40,dev_family_3,addr_family_3
11,0,59,dev_family_3,addr_family_3
12,0,53,dev_family_4,addr_family_4
13,0,29,dev_family_4,addr_family_4
14,0,40,dev_family_4,addr_family_4
15,0,55,dev_family_5,addr_family_5
16,0,39,dev_family_5,addr_family_5
17,0,28,dev_family_5,addr_family_5
18,0,3,dev_family_5,addr_family_5
19,0,44,dev_family_6,addr_family_6
20,0,0,dev_family_6,addr_family_6
21,0,34,dev_family_7,addr_family_7
22,0,28,dev_family_7,addr_family_7
23,0,28,dev_family_7,addr_family_7
24,0,55,dev_family_7,addr_family_7
25,0,31,dev_family_8,addr_family_8
26,0,45,dev_family_8,addr_family_8
27,0,10,dev_family_9,addr_family_9
28,0,17,dev_family_9,addr_family_9
29,0,3,dev_family_10,addr_family_10
30,0,37,dev_family_10,addr_family_10
31,0,2,dev_family_10,addr_family_10
32,0,52,dev_family_11,addr_family_11
33,0,54,dev_family_11,addr_family_11
34,0,25,dev_family_11,addr_family_11
35,0,35,dev_family_11,addr_family_11
36,0,6,dev_family_12,addr_family_12
37,0,49,dev_family_12,addr_family_12
38,0,46,dev_family_12,addr_family_12
39,0,30,dev_family_12,addr_family_12
40,0,28,dev_family_13,addr_family_13
41,0,0,dev_family_13,addr_family_13
42,0,20,dev_family_13,addr_family_13
43,0,42,dev_family_13,addr_family_13
44,0,3,dev_family_14,addr_family_14
45,0,45,dev_family_14,addr_family_14
46,0,14,dev_family_14,addr_family_14
47,0,34,dev_family_14,addr_family_14
48,0,45,dev_family_15,addr_family_15
49,0,47,dev_family_15,addr_family_15
50,0,46,dev_family_15,addr_family_15
51,0,16,dev_family_15,addr_family_15
52,0,8,dev_family_16,addr_family_16
53,0,5,dev_family_16,addr_family_16
54,0,33,dev_family_16,addr_family_16
55,0,19,dev_family_17,addr_family_17
56,0,0,dev_family_17,addr_family_17
57,0,33,dev_family_18,addr_family_18
58,0,22,dev_family_18,addr_family_18
59,0,55,dev_family_18,addr_family_18
60,0,7,dev_family_18,addr_family_18
61,0,5,dev_family_19,addr_family_19
62,0,21,dev_family_19,addr_family_19
63,0,5,dev_family_19,addr_family_19
64,0,22,dev_family_20,addr_family_20
65,0,34,dev_family_20,addr_family_20
66,0,27,dev_family_20,addr_family_20
67,0,9,dev_family_21,addr_family_21
68,0,0,dev_family_21,addr_family_21
69,0,38,dev_family_21,addr_family_21
70,0,18,dev_family_22,addr_family_22
71,0,53,dev_family_22,addr_family_22
72,0,14,dev_family_23,addr_family_23
73,0,32,dev_family_23,addr_family_23
74,0,42,dev_family_23,addr_family_23
75,0,27,dev_family_23,addr_family_23
76,0,0,dev_family_24,addr_family_24
77,0,35,dev_family_24,addr_family_24
78,0,59,dev_family_24,addr_family_24
79,0,29,dev_family_24,addr_family_24
80,0,46,dev_family_25,addr_family_25
81,0,23,dev_family_25,addr_family_25
82,0,8,dev_family_25,addr_family_25
83,0,45,dev_family_26,addr_family_26
84,0,49,dev_family_26,addr_family_26
85,0,31,dev_family_26,addr_family_26
86,0,1,dev_family_27,addr_family_27
87,0,7,dev_family_27,addr_family_27
88,0,47,dev_family_27,addr_family_27
89,0,51,dev_family_27,addr_family_27
90,0,45,dev_family_28,addr_family_28
91,0,56,dev_family_28,addr_family_28
92,0,30,dev_family_28,addr_family_28
93,0,27,dev_family_29,addr_family_29
94,0,48,dev_family_29,addr_family_29
95,0,9,dev_family_29,addr_family_29
96,0,37,dev_family_30,addr_family_30
97,0,11,dev_family_30,addr_family_30
98,0,58,dev_family_30,addr_family_30
99,0,39,dev_family_31,addr_family_31
100,0,36,dev_family_31,addr_family_31
101,0,30,dev_family_32,addr_family_32
102,0,43,dev_family_32,addr_family_32
103,0,11,dev_family_33,addr_family_33
104,0,52,dev_family_33,addr_family_33
105,0,42,dev_family_33,addr_family_33
106,0,21,dev_family_34,addr_family_34
107,0,12,dev_family_34,addr_family_34
108,0,50,dev_family_34,addr_family_34
109,0,16,dev_family_34,addr_family_34
110,0,0,dev_family_35,addr_family_35
111,0,12,dev_family_35,addr_family_35
112,0,26,dev_family_36,addr_family_36
113,0,13,dev_family_36,addr_family_36
114,0,9,dev_family_36,addr_family_36
115,0,52,dev_family_36,addr_family_36
116,0,15,dev_family_37,addr_family_37
117,0,56,dev_family_37,addr_family_37
118,0,44,dev_family_37,addr_family_37
119,0,7,dev_family_37,addr_family_37
120,0,18,dev_family_38,addr_family_38
121,0,45,dev_family_38,addr_family_38
122,0,59,dev_family_39,addr_family_39
123,0,30,dev_family_39,addr_family_39
124,0,10,dev_family_39,addr_family_39
125,0,45,dev_family_40,addr_family_40
126,0,31,dev_family_40,addr_family_40
127,0,3,dev_family_41,addr_family_41
128,0,50,dev_family_41,addr_family_41
129,0,48,dev_family_41,addr_family_41
130,0,6,dev_family_41,addr_family_41
131,0,34,dev_family_42,addr_family_42
132,0,11,dev_family_42,addr_family_42
133,0,11,dev_family_42,addr_family_42
134,0,15,dev_family_42,addr_family_42
135,0,8,dev_family_43,addr_family_43
136,0,22,dev_family_43,addr_family_43
137,0,14,dev_family_43,addr_family_43
138,0,47,dev_family_44,addr_family_44
139,0,11,dev_family_44,addr_family_44
140,0,26,dev_family_45,addr_family_45
141,0,18,dev_family_45,addr_family_45
142,0,24,dev_142,addr_142
143,0,49,dev_143,addr_143
144,0,12,dev_144,addr_144
145,0,46,dev_145,addr_145
146,0,25,dev_146,addr_146
147,0,58,dev_147,addr_147
148,0,17,dev_148,addr_148
149,0,53,dev_149,addr_149
150,0,5,dev_150,addr_150
151,0,15,dev_151,addr_151
152,0,59,dev_152,addr_152
153,0,55,dev_153,addr_153
154,0,42,dev_154,addr_154
155,0,0,dev_155,addr_155
156,0,10,dev_156,addr_156
157,0,19,dev_157,addr_157
158,0,34,dev_158,addr_158
159,0,1,dev_159,addr_159
160,0,45,dev_160,addr_160
161,0,8,dev_161,addr_161
162,0,44,dev_162,addr_162
163,0,35,dev_163,addr_163
164,0,23,dev_164,addr_164
165,0,20,dev_165,addr_165
166,0,6,dev_166,addr_166
167,0,37,dev_167,addr_167
168,0,26,dev_168,addr_168
169,0,14,dev_169,addr_169
170,0,29,dev_170,addr_170
171,0,21,dev_171,addr_171
172,0,2,dev_172,addr_172
173,0,56,dev_173,addr_173
174,0,27,dev_174,addr_174
175,0,49,dev_175,addr_175
176,0,53,dev_176,addr_176
177,0,6,dev_177,addr_177
178,0,51,dev_178,addr_178
179,0,49,dev_179,addr_179
180,0,23,dev_180,addr_180
181,0,26,dev_181,addr_181
182,0,10,dev_182,addr_182
183,0,41,dev_183,addr_183
184,0,15,dev_184,addr_184
185,0,16,dev_185,addr_185
186,0,2,dev_186,addr_186
187,0,18,dev_187,addr_187
188,0,18,dev_188,addr_188
189,0,54,dev_189,addr_189
190,0,1,dev_190,addr_190
191,0,31,dev_191,addr_191
192,0,47,dev_192,addr_192
193,0,22,dev_193,addr_193
194,0,7,dev_194,addr_194
195,0,13,dev_195,addr_195
196,0,43,dev_196,addr_196
197,0,9,dev_197,addr_197
198,0,10,dev_198,addr_198
199,0,17,dev_199,addr_199
200,0,19,dev_200,addr_200
201,0,43,dev_201,addr_201
202,0,9,dev_202,addr_202
203,0,35,dev_203,addr_203
204,0,28,dev_204,addr_204
205,0,18,dev_205,addr_205
206,0,26,dev_206,addr_206
207,0,20,dev_207,addr_207
208,0,27,dev_208,addr_208
209,0,40,dev_209,addr_209
210,0,43,dev_210,addr_210
